Time,Predicted_MHC_Water_Level,CI_Lower,CI_Upper
2023-08-29 02:00:00,1.497630021902383,1.3484120684672054,1.6468479753375607
2023-08-29 03:00:00,1.4963030456859765,1.3468715695669677,1.6457345218049853
2023-08-29 04:00:00,1.4918760677974423,1.3510989311772859,1.6326532044175988
2023-08-29 05:00:00,1.4882942988021128,1.3614187303588787,1.615169867245347
2023-08-29 06:00:00,1.4847438216654452,1.3602656783167835,1.6092219650141069
2023-08-29 07:00:00,1.479994749626506,1.3593922422258775,1.6005972570271345
2023-08-29 08:00:00,1.47384964100218,1.3650396378126914,1.5826596441916685
2023-08-29 09:00:00,1.4757337548376825,1.3756302960269573,1.5758372136484078
2023-08-29 10:00:00,1.476385313397685,1.3823815622335305,1.5703890645618395
2023-08-29 11:00:00,1.4724252132265023,1.3829070363943805,1.5619433900586241
2023-08-29 12:00:00,1.4801717157873722,1.406086883507248,1.5542565480674964
2023-08-29 13:00:00,1.480777617623631,1.408628144852525,1.5529270903947368
2023-08-29 14:00:00,1.4840731601092418,1.4156509522449043,1.5524953679735793
2023-08-29 15:00:00,1.490926727591618,1.4403820998695245,1.5414713553137116
2023-08-29 16:00:00,1.479381923148337,1.4191316820691573,1.5396321642275166
2023-08-29 17:00:00,1.4870183943170934,1.4272252535937182,1.5468115350404685
2023-08-29 18:00:00,1.4849735254987875,1.4352058032813275,1.5347412477162474
2023-08-29 19:00:00,1.5028363857310891,1.3690426255398456,1.6366301459223327
2023-08-29 20:00:00,1.5248573339387772,1.4039269064153919,1.6457877614621625
2023-08-29 21:00:00,1.609187690135694,1.379862311705565,1.838513068565823
2023-08-29 22:00:00,1.641645064039395,1.372521188254129,1.9107689398246608
2023-08-29 23:00:00,1.6715448873495842,1.2821470036485474,2.060942771050621
2023-08-30 00:00:00,1.6365411479513843,1.3662860062516342,1.9067962896511343
2023-08-30 01:00:00,1.6284587132350243,1.4130601211987739,1.8438573052712748
2023-08-30 02:00:00,1.5561703158332787,1.4802643117452976,1.6320763199212598
2023-08-30 03:00:00,1.6055898967218059,1.3924646877950502,1.8187151056485615
2023-08-30 04:00:00,1.673720282734642,1.2384948585048545,2.1089457069644295
2023-08-30 05:00:00,1.6806380649586024,1.2149797052480489,2.146296424669156
2023-08-30 06:00:00,1.666774252054583,1.2019678762973487,2.1315806278118172
2023-08-30 07:00:00,1.8277669196802406,0.9905193186703183,2.665014520690163
2023-08-30 08:00:00,1.835660602115568,0.9924932171434585,2.6788279870876774
2023-08-30 09:00:00,1.8305761494663135,0.9823614585517234,2.6787908403809038
2023-08-30 10:00:00,1.8460059806449425,0.9311100284453079,2.760901932844577
2023-08-30 11:00:00,1.829307454561224,0.9098038452491741,2.7488110638732737
2023-08-30 12:00:00,1.8218107613349224,0.8595536489927945,2.78406787367705
2023-08-30 13:00:00,1.8199063059228342,0.8579810162293172,2.7818315956163513
2023-08-30 14:00:00,1.819982363382494,0.8582091619566135,2.7817555648083747
2023-08-30 15:00:00,1.8523039926512166,0.9140884578646593,2.790519527437774
2023-08-30 16:00:00,1.8577991061648382,0.9243953811617516,2.791202831167925
2023-08-30 17:00:00,1.8687041084948792,0.9460089819734343,2.791399235016324
2023-08-30 18:00:00,1.8951660942952835,0.988639407781267,2.8016927808093
2023-08-30 19:00:00,1.9589406866677892,1.0769165493902069,2.8409648239453715
2023-08-30 20:00:00,1.9988960049109006,1.1581559544000426,2.8396360554217583
2023-08-30 21:00:00,2.0240579450476472,1.2043204510246448,2.8437954390706497
2023-08-30 22:00:00,2.1915755242883557,1.4345418635542084,2.948609185022503
2023-08-30 23:00:00,2.2910812511104313,1.5819463554703348,3.0002161467505277
2023-08-31 00:00:00,2.296709411529304,1.5925445053625347,3.000874317696073
2023-08-31 01:00:00,2.3437208540102343,1.6471997639419156,3.040241944078553
2023-08-31 02:00:00,2.2616939991424134,1.5370846707334278,2.986303327551399
2023-08-31 03:00:00,2.2520279917138004,1.5054563055541246,2.998599677873476
2023-08-31 04:00:00,2.211653518131827,1.4747132087463823,2.9485938275172714
2023-08-31 05:00:00,2.164259704007355,1.4244541471270427,2.904065260887667
2023-08-31 06:00:00,2.140888681078738,1.3917774003689527,2.889999961788524
2023-08-31 07:00:00,2.1019162521503407,1.380534179363007,2.8232983249376744
2023-08-31 08:00:00,2.0249437971801028,1.2786451413519362,2.771242453008269
2023-08-31 09:00:00,1.9984592629541165,1.2417482634019241,2.755170262506309
2023-08-31 10:00:00,1.998897192732825,1.2457305977363418,2.752063787729308
2023-08-31 11:00:00,1.9916320484590073,1.234555751593772,2.7487083453242427
2023-08-31 12:00:00,1.9080162866442407,1.1374153255458501,2.6786172477426313
2023-08-31 13:00:00,1.9057043200612318,1.0870533062844447,2.7243553338380186
2023-08-31 14:00:00,1.9054032558275646,1.082476883156069,2.7283296284990604
2023-08-31 15:00:00,1.9049767996261417,1.078697704605015,2.7312558946472683
2023-08-31 16:00:00,1.9038225348173188,1.0736140842911075,2.73403098534353
2023-08-31 17:00:00,1.89500252210459,1.1163813970151528,2.6736236471940273
2023-08-31 18:00:00,1.8939231487141264,1.0995491744733057,2.688297122954947
2023-08-31 19:00:00,1.8897974045114674,1.0868432869809181,2.6927515220420166
2023-08-31 20:00:00,1.902798948464469,1.0359531777746034,2.7696447191543347
2023-08-31 21:00:00,1.8888926878395331,1.0041756051972706,2.7736097704817957
2023-08-31 22:00:00,1.8710201564305646,0.9707250634941279,2.7713152493670012
2023-08-31 23:00:00,1.8722213824860594,0.9241390288460086,2.8203037361261103
2023-09-01 00:00:00,1.875208264698754,0.9645667293869521,2.785849800010556
2023-09-01 01:00:00,1.8765205952806598,0.979502845510059,2.7735383450512607
2023-09-01 02:00:00,1.8615032008181873,0.9742313025965171,2.7487750990398574
2023-09-01 03:00:00,1.8518522000777995,0.9529174237748854,2.750786976380714
2023-09-01 04:00:00,1.863040600673971,0.9744471849921114,2.7516340163558306
2023-09-01 05:00:00,1.857104020106481,0.9585211775354505,2.7556868626775115
2023-09-01 06:00:00,1.8562960661556702,0.9567620760385376,2.755830056272803
2023-09-01 07:00:00,1.8562960661556702,0.9567620760385376,2.755830056272803
2023-09-01 08:00:00,1.8538387086552734,0.9508168609156497,2.7568605563948974
2023-09-01 09:00:00,1.8512934250173425,0.9508554727414048,2.75173137729328
2023-09-01 10:00:00,1.844407175769146,0.9263230065272773,2.7624913450110147
2023-09-01 11:00:00,1.842496309315339,0.921791648265719,2.763200970364959
2023-09-01 12:00:00,1.8498157443865932,0.9428616730987842,2.756769815674402
