Time,Predicted_MHC_Water_Level,CI_Lower,CI_Upper,CI_MAX_Status
2023-08-29 18:00:00,1.4888883483736817,1.4464940209830262,1.5312826757643372,정상
2023-08-29 19:00:00,1.5055970679276511,1.3672090768299714,1.6439850590253309,정상
2023-08-29 20:00:00,1.5366899878628697,1.371692844513376,1.7016871312123634,정상
2023-08-29 21:00:00,1.602062339871238,1.361934770036617,1.8421899097058592,정상
2023-08-29 22:00:00,1.6281859952922175,1.3563903379669104,1.8999816526175248,정상
2023-08-29 23:00:00,1.65898346113961,1.2684054781477416,2.049561444131478,정상
2023-08-30 00:00:00,1.628230684446797,1.3602621907302952,1.896199178163299,정상
2023-08-30 01:00:00,1.638790115472159,1.403629109325787,1.8739511216185305,정상
2023-08-30 02:00:00,1.5663175326976673,1.441513042905729,1.6911220224896055,정상
2023-08-30 03:00:00,1.601460123721179,1.3978021887011605,1.8051180587411972,정상
2023-08-30 04:00:00,1.636795970909093,1.3017250034418275,1.9718669383763576,정상
2023-08-30 05:00:00,1.64311042702953,1.2635216525678237,2.0226992014912364,정상
2023-08-30 06:00:00,1.643182189041758,1.263422270392593,2.022942107690923,정상
2023-08-30 07:00:00,1.792931294587987,0.9741265435392312,2.611736045636743,정상
2023-08-30 08:00:00,1.7984960887109145,0.9685881200931228,2.628404057328706,정상
2023-08-30 09:00:00,1.793730010213946,0.9543156465339104,2.6331443738939813,정상
2023-08-30 10:00:00,1.7899612734163326,0.9381791915624964,2.641743355270169,정상
2023-08-30 11:00:00,1.7913010887169505,0.9418429991416164,2.640759178292285,정상
2023-08-30 12:00:00,1.8277231708731685,0.7774055442961008,2.878040797450236,정상
2023-08-30 13:00:00,1.8314265358409232,0.7860335127770526,2.876819558904794,정상
2023-08-30 14:00:00,1.8567922670994363,0.6187101120952192,3.0948744221036533,정상
2023-08-30 15:00:00,1.864271521412134,0.6327902557371838,3.0957527870870845,정상
2023-08-30 16:00:00,1.869484540462228,0.6383843522843902,3.100584728640065,정상
2023-08-30 17:00:00,1.8884876102647168,0.6744023780854393,3.102572842443994,정상
2023-08-30 18:00:00,1.9170429894829533,0.7273335105187515,3.1067524684471555,정상
2023-08-30 19:00:00,1.9791172990996724,0.8220780875980027,3.1361565106013423,정상
2023-08-30 20:00:00,1.999639802697548,0.8569719499429405,3.142307655452156,정상
2023-08-30 21:00:00,2.015654198326368,1.1068854232316123,2.924422973421123,정상
2023-08-30 22:00:00,2.148490933921723,1.2772199386324303,3.019761929211016,정상
2023-08-30 23:00:00,2.274961158915781,1.4807168638490156,3.069205453982547,정상
2023-08-31 00:00:00,2.281421697740561,1.4950660258938582,3.0677773695872643,정상
2023-08-31 01:00:00,2.3281688465669665,1.5433381604719496,3.1129995326619837,정상
2023-08-31 02:00:00,2.279160376274175,1.2669954305731956,3.2913253219751546,정상
2023-08-31 03:00:00,2.261371652699234,1.2410531152348494,3.2816901901636184,정상
2023-08-31 04:00:00,2.2579696281096844,1.2334668046724837,3.282472451546885,정상
2023-08-31 05:00:00,2.2365379267158403,1.216524585396217,3.256551268035464,정상
2023-08-31 06:00:00,2.2108227825999194,1.1743558917603043,3.2472896734395342,정상
2023-08-31 07:00:00,2.1622349157998517,1.134304642567823,3.1901651890318794,정상
2023-08-31 08:00:00,2.088131976426911,1.0220946020422763,3.1541693508115456,정상
2023-08-31 09:00:00,2.045165759559977,0.9659788674657552,3.124352651654199,정상
2023-08-31 10:00:00,2.031773867902841,0.947352227677486,3.1161955081281967,정상
2023-08-31 11:00:00,2.020044094277591,0.9293530906942647,3.110735097860917,정상
2023-08-31 12:00:00,1.9222222515911416,1.0339544834389105,2.8104900197433733,정상
2023-08-31 13:00:00,1.9252711643865383,1.0337438511603778,2.816798477612699,정상
2023-08-31 14:00:00,1.9239056991564836,1.029616635046111,2.818194763266856,정상
2023-08-31 15:00:00,1.917726746144626,1.017121501750038,2.818331990539214,정상
2023-08-31 16:00:00,1.9116498605651573,1.0123298411067712,2.810969880023544,정상
2023-08-31 17:00:00,1.9041907446880155,1.0502371678804008,2.75814432149563,정상
2023-08-31 18:00:00,1.914016997097694,1.0517228503260487,2.7763111438693397,정상
2023-08-31 19:00:00,1.9140600139969888,1.046718140235109,2.781401887758869,정상
2023-08-31 20:00:00,1.9266015438956616,1.0013393316671928,2.8518637561241302,정상
2023-08-31 21:00:00,1.9110107713722384,0.9677696879343584,2.854251854810119,정상
2023-08-31 22:00:00,1.8624613384988955,0.8810048617906159,2.843917815207175,정상
2023-08-31 23:00:00,1.8738936453464723,0.8611666771777149,2.886620613515229,정상
2023-09-01 00:00:00,1.8406601927987964,1.0384734323169895,2.642846953280604,정상
2023-09-01 01:00:00,1.83200220637088,1.035565148862938,2.6284392638788217,정상
2023-09-01 02:00:00,1.8330817017010737,1.0377273664180575,2.6284360369840902,정상
2023-09-01 03:00:00,1.8246155284294772,1.016706068236347,2.632524988622608,정상
2023-09-01 04:00:00,1.8270764160321264,1.0295964211802389,2.6245564108840136,정상
2023-09-01 05:00:00,1.8193767248191892,1.0096511860130466,2.6291022636253323,정상
2023-09-01 06:00:00,1.819831788260343,1.0079379678061224,2.6317256087145635,정상
2023-09-01 07:00:00,1.8218915285200832,1.0120171745102229,2.6317658825299435,정상
2023-09-01 08:00:00,1.8184136373636204,1.0043931876121106,2.63243408711513,정상
2023-09-01 09:00:00,1.814908086261392,0.9967372762656228,2.633078896257161,정상
2023-09-01 10:00:00,1.8046127862268893,0.971231594372841,2.6379939780809374,정상
2023-09-01 11:00:00,1.8027465734597312,0.967507315347204,2.637985831572258,정상
2023-09-01 12:00:00,1.810138194705931,0.9861289058904286,2.634147483521433,정상
2023-09-01 13:00:00,1.756266992684174,0.8594789347712146,2.653055050597133,정상
2023-09-01 14:00:00,1.778313345930246,0.9072130563368324,2.6494136355236595,정상
2023-09-01 15:00:00,1.8020288932824589,0.960496649110794,2.643561137454124,정상
2023-09-01 16:00:00,1.8045461944146053,0.9661537090322038,2.6429386797970067,정상
2023-09-01 17:00:00,1.8055929440253808,0.9721609891556816,2.63902489889508,정상
2023-09-01 18:00:00,1.805994599527536,0.9739807337495696,2.6380084653055027,정상
2023-09-01 19:00:00,1.7991220345924714,0.976228167414769,2.622015901770174,정상
2023-09-01 20:00:00,1.7933959543377287,0.9643860598428152,2.622405848832642,정상
2023-09-01 21:00:00,1.7881986793062317,0.9526062141760826,2.623791144436381,정상
2023-09-01 22:00:00,1.614971666611926,1.2015104997443788,2.028432833479473,정상
2023-09-01 23:00:00,1.6188624598724453,1.2114633271037245,2.0262615926411662,정상
2023-09-02 00:00:00,1.61976177734524,1.2168046116232645,2.022718943067216,정상
2023-09-02 01:00:00,1.6202097804041933,1.2171019796058022,2.0233175812025843,정상
2023-09-02 02:00:00,1.6220238022576552,1.206404220586169,2.037643383929141,정상
2023-09-02 03:00:00,1.62397261501334,1.210266947815074,2.0376782822116057,정상
2023-09-02 04:00:00,1.623286054763736,1.20898249181102,2.037589617716452,정상
2023-09-02 05:00:00,1.6202893134382257,1.2028204067610344,2.0377582201154167,정상
2023-09-02 06:00:00,1.60806292716149,1.223929811945503,1.9921960423774767,정상
2023-09-02 07:00:00,1.6066935154211572,1.2208252234472106,1.992561807395104,정상
2023-09-02 08:00:00,1.6065666087462436,1.2207420436369176,1.9923911738555693,정상
2023-09-02 09:00:00,1.602314202154287,1.2349832584640617,1.9696451458445128,정상
2023-09-02 10:00:00,1.5886927379094034,1.2043194669921755,1.9730660088266312,정상
2023-09-02 11:00:00,1.5891440408499458,1.2056941399001564,1.9725939417997351,정상
2023-09-02 12:00:00,1.5871822373219235,1.201362840174773,1.9730016344690744,정상
2023-09-02 13:00:00,1.546328989424674,1.27397125449642,1.818686724352928,정상
2023-09-02 14:00:00,1.5466918343510343,1.166486909986009,1.92689675871606,정상
2023-09-02 15:00:00,1.52754276622137,1.239998332941905,1.815087199500835,정상
2023-09-02 16:00:00,1.524599240680531,1.2396498855466174,1.8095485958144448,정상
2023-09-02 17:00:00,1.5105086123376392,1.2282205642896926,1.7927966603855858,정상
2023-09-02 18:00:00,1.5114289865986494,1.2523533801031637,1.7705045930941352,정상
2023-09-02 19:00:00,1.5162359616127803,1.233659561219182,1.798812362006379,정상
2023-09-02 20:00:00,1.5202821438534813,1.2298438902277211,1.8107203974792412,정상
2023-09-02 21:00:00,1.5166044902650773,1.248410014807576,1.784798965722579,정상
2023-09-02 22:00:00,1.5139786378906344,1.245868933359052,1.7820883424222167,정상
2023-09-02 23:00:00,1.5138740692589217,1.2511188008797676,1.7766293376380755,정상
2023-09-03 00:00:00,1.517175626181531,1.2510054127210677,1.7833458396419946,정상
2023-09-03 01:00:00,1.5009641178712996,1.2756568423022177,1.7262713934403815,정상
2023-09-03 02:00:00,1.5035892080588895,1.2764415675656136,1.730736848552166,정상
2023-09-03 03:00:00,1.507715375166636,1.2812700406559725,1.7341607096773,정상
2023-09-03 04:00:00,1.5061614069126676,1.2781312247065415,1.7341915891187936,정상
2023-09-03 05:00:00,1.5059153792916398,1.2775871872475402,1.7342435713357394,정상
